threads, 32
j, 21 k, 5 , tkt1[j-1][k-1], 9.6e-07
j, 21 k, 6 , tkt1[j-1][k-1], 1.12e-06
j, 21 k, 7 , tkt1[j-1][k-1], 1.3e-06
j, 21 k, 8 , tkt1[j-1][k-1], 1.47e-06
j, 21 k, 9 , tkt1[j-1][k-1], 1.63e-06
j, 21 k, 10 , tkt1[j-1][k-1], 1.81e-06
j, 21 k, 11 , tkt1[j-1][k-1], 1.98e-06
j, 21 k, 12 , tkt1[j-1][k-1], 2.14e-06
j, 21 k, 13 , tkt1[j-1][k-1], 2.31e-06
j, 21 k, 14 , tkt1[j-1][k-1], 2.48e-06
j, 21 k, 15 , tkt1[j-1][k-1], 2.64e-06
j, 21 k, 16 , tkt1[j-1][k-1], 2.8e-06
j, 21 k, 17 , tkt1[j-1][k-1], 2.98e-06
j, 21 k, 18 , tkt1[j-1][k-1], 3.14e-06
j, 21 k, 19 , tkt1[j-1][k-1], 3.31e-06
j, 21 k, 20 , tkt1[j-1][k-1], 3.47e-06
j, 21 k, 1 , tkt2[j-1][k-1], 2.3e-07
j, 21 k, 2 , tkt2[j-1][k-1], 7.255e-05
j, 21 k, 3 , tkt2[j-1][k-1], 0.000165861
j, 21 k, 4 , tkt2[j-1][k-1], 0.000207541
j, 21 k, 5 , tkt2[j-1][k-1], 0.000254081
j, 21 k, 6 , tkt2[j-1][k-1], 0.000289401
j, 21 k, 7 , tkt2[j-1][k-1], 0.000379521
j, 21 k, 8 , tkt2[j-1][k-1], 0.000429021
j, 21 k, 9 , tkt2[j-1][k-1], 0.000479481
j, 21 k, 10 , tkt2[j-1][k-1], 0.000527401
j, 21 k, 11 , tkt2[j-1][k-1], 0.000581771
j, 21 k, 12 , tkt2[j-1][k-1], 0.000639811
j, 21 k, 13 , tkt2[j-1][k-1], 0.000721221
j, 21 k, 14 , tkt2[j-1][k-1], 0.000807811
j, 21 k, 15 , tkt2[j-1][k-1], 0.000899061
j, 21 k, 16 , tkt2[j-1][k-1], 0.000948651
j, 21 k, 17 , tkt2[j-1][k-1], 0.001030641
j, 21 k, 18 , tkt2[j-1][k-1], 0.001091041
j, 21 k, 19 , tkt2[j-1][k-1], 0.001262041
j, 21 k, 20 , tkt2[j-1][k-1], 0.001372371
j, 21 t3-t2-t2-t1, 0.001445781
j, 22 k, 1 , tkt1[j-1][k-1], 2e-07
j, 22 k, 2 , tkt1[j-1][k-1], 3.8e-07
j, 22 k, 3 , tkt1[j-1][k-1], 5.4e-07
j, 22 k, 4 , tkt1[j-1][k-1], 7.1e-07
j, 22 k, 5 , tkt1[j-1][k-1], 8.8e-07
j, 22 k, 6 , tkt1[j-1][k-1], 1.05e-06
